Stat,,Repetitions,1,Stratification,_,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,90,61,56,49,38,29,28,25,24,17
MIST,100.0,73.0,65.0,58.0,45.0,36.0,32.0,34.0,27.0,26.0,23.0
Diff,0.0,17.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,2.0,6.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,_,,,,,,
Sick,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,10,35,30,25,26,28,23,22,19,22
MIST,0.0,26.0,25.0,25.0,31.0,30.0,23.0,13.0,18.0,14.0,11.0
Diff,0.0,16.0,10.0,5.0,6.0,4.0,5.0,10.0,4.0,5.0,11.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,0,4,14,26,36,43,49,53,57,61
MIST,0.0,1.0,10.0,17.0,24.0,34.0,45.0,53.0,55.0,60.0,66.0
Diff,0.0,1.0,6.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,_,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,70,59,45,34,30,28,22,19,18,16
MIST,100.0,75.0,54.0,46.0,39.0,33.0,30.0,24.0,19.0,16.0,13.0
Diff,0.0,5.0,5.0,1.0,5.0,3.0,2.0,2.0,0.0,2.0,3.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,_,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,90,73,60,52,48,41,34,27,24,25
MIST,100.0,87.0,76.0,66.0,57.0,45.0,40.0,35.0,30.0,31.0,27.0
Diff,0.0,3.0,3.0,6.0,5.0,3.0,1.0,1.0,3.0,7.0,2.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,_,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,79.4,63.2,52.9,44.2,37.7,33,27.3,23.3,20.3,18.8
MIST,100.0,80.700000000000003,65.099999999999994,55.399999999999999,46.600000000000001,39.700000000000003,35.0,30.300000000000001,25.699999999999999,22.199999999999999,18.399999999999999
Diff,0.0,1.2999999999999972,1.8999999999999915,2.5,2.3999999999999986,2.0,2.0,3.0,2.3999999999999986,1.8999999999999986,0.40000000000000213
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,_,,,,,,
Healthy,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,6.46701030014815,4.07703596037884,5.48634668973808,5.20256347070045,4.73872931866292,4.44722135470878,3.52924291535105,2.45175673979111,1.82878222991269,3.15524255098646
