Stat,,Repetitions,1,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,93,89,85,81,78,76,72,70,67,65
MIST,100.0,95.0,85.0,82.0,79.0,76.0,75.0,74.0,70.0,68.0,67.0
Diff,0.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0
,,,,,,,,,,,
Stat,,Repetitions,1,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,7,11,15,19,22,24,28,30,33,35
MIST,0.0,5.0,15.0,18.0,21.0,24.0,25.0,26.0,30.0,32.0,33.0
Diff,0.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,92,88,83,76,71,68,62,56,54,52
MIST,100.0,92.0,78.0,77.0,73.0,69.0,65.0,61.0,58.0,56.0,54.0
Diff,0.0,0.0,10.0,6.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,98,93,88,86,82,78,74,73,71,69
MIST,100.0,99.0,95.0,90.0,86.0,82.0,79.0,77.0,70.0,68.0,64.0
Diff,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,94.5,90.2,85.3,81.1,77.2,73.3,68.3,65.1,62.7,59.2
MIST,100.0,95.200000000000003,89.200000000000003,84.400000000000006,79.599999999999994,75.5,72.299999999999997,68.599999999999994,64.200000000000003,61.100000000000001,58.299999999999997
Diff,0.0,0.7000000000000028,1.0,0.8999999999999915,1.5,1.7000000000000028,1.0,0.29999999999999716,0.8999999999999915,1.6000000000000014,0.9000000000000057
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.12132034355964,1.98885785202351,1.70293863659264,2.7264140062238,3.58391468152416,3.8020462326957,4.29599296502631,5.68526360182377,5.25039681040078,5.69209978830308
MIST,0.0,2.2010098692292237,4.6619023298792239,3.8643671323171835,4.0055517028799468,3.9228674319799399,4.2439499421071298,4.9261208538429777,4.4171383395939854,3.5418137224371984,3.0930028559098792
Diff,0.0,0.07968952566958354,2.673044477855714,2.1614284957245435,1.279137696656147,0.3389527504557801,0.44190370941143,0.6301278888166681,1.268125262229785,1.7085830879635813,2.599096932393201
,,,,,,,,,,,
Stat,Min,Repetitions,10,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2,7,12,14,18,22,26,27,29,31
MIST,0.0,1.0,5.0,10.0,14.0,18.0,21.0,23.0,30.0,32.0,36.0
Diff,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0
,,,,,,,,,,,
Stat,Max,Repetitions,10,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,8,12,17,24,29,32,38,44,46,48
MIST,0.0,8.0,22.0,23.0,27.0,31.0,35.0,39.0,42.0,44.0,46.0
Diff,0.0,0.0,10.0,6.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0
,,,,,,,,,,,
Stat,Mean,Repetitions,10,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,5.5,9.8,14.7,18.9,22.8,26.7,31.7,34.9,37.3,40.8
MIST,0.0,4.7999999999999998,10.800000000000001,15.6,20.399999999999999,24.5,27.699999999999999,31.399999999999999,35.799999999999997,38.899999999999999,41.700000000000003
Diff,0.0,0.7000000000000002,1.0,0.9000000000000004,1.5,1.6999999999999993,1.0,0.3000000000000007,0.8999999999999986,1.6000000000000014,0.9000000000000057
,,,,,,,,,,,
Stat,STD,Repetitions,10,Stratification,_,,,,,,
Dead,0,1,2,3,4,5,6,7,8,9,10
iBioSim,0,2.12132034355964,1.98885785202351,1.70293863659264,2.7264140062238,3.58391468152416,3.8020462326957,4.29599296502631,5.68526360182377,5.25039681040078,5.69209978830308
MIST,0.0,2.2010098692292237,4.6619023298792239,3.8643671323171835,4.0055517028799468,3.9228674319799399,4.2439499421071298,4.9261208538429777,4.4171383395939854,3.5418137224371984,3.0930028559098792
Diff,0.0,0.07968952566958354,2.673044477855714,2.1614284957245435,1.279137696656147,0.3389527504557801,0.44190370941143,0.6301278888166681,1.268125262229785,1.7085830879635813,2.599096932393201
,,,,,,,,,,,
Stat,Min,Repetitions,100,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,89,82,74,69,66,62,57,52,50,46
MIST,100.0,89.0,78.0,77.0,72.0,69.0,65.0,61.0,55.0,53.0,49.0
Diff,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
,,,,,,,,,,,
Stat,Max,Repetitions,100,Stratification,_,,,,,,
Alive,0,1,2,3,4,5,6,7,8,9,10
iBioSim,100,100,97,94,91,88,86,82,79,76,73
MIST,100.0,99.0,98.0,93.0,90.0,85.0,84.0,82.0,80.0,76.0,73.0
Diff,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0
