"","min","max","mean","sd"
"X1",40.499999997975,40.499999997975,40.499999997975,0
"X2",40.2631578926177,41.2499999979375,40.9089009267026,0.343662944980763
"X3",37.727272723843,42.79999999572,40.5856943022995,1.47557652582684
"X4",38.2222222179753,42.79999999144,40.5147222165275,1.53234290552441
"X5",35.7499999910625,50.49999997475,41.0583333215711,4.00771824230717
"X6",35.49999998225,49.99999995,40.6916666485607,3.95005273304168
"X7",36.999999963,48.999999951,40.6018518289637,3.67559938122836
"X8",34.49999998275,49.99999995,41.8749999692917,5.63629817165254
"X9",37.999999962,47.999999984,41.249999976625,4.71699057184946
"X10",48.9999999836667,48.9999999836667,48.9999999836667,NA
"X11",43.6666666521111,43.6666666521111,43.6666666521111,NA
