"","min","max","mean","sd"
"X1",119.999999994,119.999999994,119.999999994,0
"X2",123.999999993474,124.149999993793,124.093959350551,0.0275873521032744
"X3",127.671428562309,128.484615374732,128.049831678545,0.161893007737233
"X4",130.574999983678,132.949999988921,131.848407370025,0.411164129511933
"X5",132.5999998674,136.699999988608,134.850973430304,0.925833422603065
"X6",130.999999869,137.999999862,135.618090868162,1.00669984435541
"X7",131.09999993445,138.699999953767,135.17242859455,1.46783000290298
"X8",130.449999934775,137.649999965587,134.210848742744,1.56542147532931
"X9",130.7999998692,139.1999998608,134.872039279765,1.7342168577649
"X10",130.4999998695,139.6999998603,135.518078362208,1.90347125189405
"X11",130.4999998695,139.4999998605,135.690046211964,2.1164821142946
