"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.2631578926177,41.2499999979375,40.9089009267026,0.343662944980763
"X3",74.4545454477769,84.59999999154,80.1713886046827,2.95115305165256
"X4",111.666666654259,125.39999997492,118.544166650003,4.59702871661908
"X5",136.99999996575,200.9999998995,159.011111065439,17.2646192372708
"X6",167.49999991625,249.99999975,198.008333244814,22.334799863446
"X7",211.999999947,288.999999711,237.31481468065,23.1316348053672
"X8",230.49999988475,348.999999651,284.833333124556,42.7730258766422
"X9",285.999999714,375.999999874667,315.749999822042,42.4293530890235
"X10",431.666666522778,431.666666522778,431.666666522778,NA
"X11",414.999999861667,414.999999861667,414.999999861667,NA
