"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,NA
"X2",121.599999995807,121.599999995807,121.599999995807,NA
"X3",123.1999999956,123.1999999956,123.1999999956,NA
"X4",124.574999994809,124.574999994809,124.574999994809,NA
"X5",125.355555548591,125.355555548591,125.355555548591,NA
"X6",126.852941169009,126.852941169009,126.852941169009,NA
"X7",128.619999991425,128.619999991425,128.619999991425,NA
"X8",130.930769220698,130.930769220698,130.930769220698,NA
"X9",131.054545442631,131.054545442631,131.054545442631,NA
"X10",130.869999986913,130.869999986913,130.869999986913,NA
"X11",131.79999998682,131.79999998682,131.79999998682,NA
