"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,1,1,0
"X3",3,8,5.8,1.61932770686548
"X4",8,12,10.3,1.25166555703457
"X5",11,17,14,2.3094010767585
"X6",14,20,16.8,1.81352940116473
"X7",15,23,19,2.40370085030933
"X8",17,24,20.7,2.40601099101581
"X9",20,25,21.9,1.96920739836559
"X10",21,26,22.9,1.96920739836559
"X11",21,26,23.3,1.88856206322871
