"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,0
"X2",121.496153841481,121.642857138513,121.593530317257,0.0221220083286494
"X3",122.883333328213,123.284615379874,123.113368990648,0.0841099377417197
"X4",124.147058816227,124.895454539777,124.550948914526,0.173000484978927
"X5",125.222222215265,126.639999993668,125.908912696251,0.320146214572103
"X6",125.892857133865,128.749999991953,127.225152876749,0.485218254862456
"X7",126.853846144088,130.885714276365,128.519385378335,0.723001649397901
"X8",127.629999987237,132.541666655622,129.888832069395,0.931091480141209
"X9",127.799999984025,133.439999986656,130.687031637592,0.978704858562889
"X10",129.224999967694,133.985714266573,131.530009558154,0.922687743608498
"X11",128.69999997426,134.499999955167,132.012531559173,0.907259457861792
