"","min","max","mean","sd"
"X1",0,0,0,0
"X2",6,13,10.2,2.20100986922922
"X3",6,15,11.3,3.16403399335581
"X4",8,15,10.9,2.13177026070926
"X5",4,12,8.1,2.51440295541948
"X6",2,8,5.4,2.11869981094276
"X7",2,6,4.1,1.59513148186739
"X8",2,5,3.5,1.26929551764398
"X9",2,5,3.4,1.26491106406735
"X10",1,4,2.5,1.17851130197758
"X11",1,4,2.11111111111111,1.36422546197874
