"","min","max","mean","sd"
"X1",0,0,0,0
"X2",39.9999999978947,41.499999997925,40.9395935652148,0.275873520163441
"X3",38.8571428543673,42.9230769197751,40.7491584317511,0.809465037314447
"X4",36.2499999954687,44.1666666629861,40.4946912700632,1.37054709438344
"X5",32.999999967,47.2727272684298,41.153301266749,2.30909433536026
"X6",33.39999999332,53.999999946,43.0615565190501,4.04770743079836
"X7",32.6666666557778,55.999999972,44.4205363532177,4.14089509817547
"X8",36.49999998175,58.999999941,45.0484795165889,4.59544528161957
"X9",32.999999967,64.999999935,42.9424689257286,6.07023401600789
"X10",30.999999969,58.999999941,41.9349019393881,6.49605019135455
"X11",30.999999969,66.999999933,42.5118055291625,7.88831093039232
