"","min","max","mean","sd"
"X1",50,50,50,0
"X2",34,46,39.37,2.74379004998266
"X3",23,41,32.25,3.52587835607217
"X4",17,36,27.26,3.43957949038935
"X5",13,33,23.23,3.52438833435153
"X6",8,28,19.49,3.3799617474376
"X7",7,25,16.95,3.61639085668057
"X8",6,25,14.44,3.76941439065604
"X9",4,23,12.57,3.31587854196298
"X10",5,20,10.85,2.80466782634978
"X11",4,16,9.39,2.53419044511679
