"","min","max","mean","sd"
"X1",30,30,30,0
"X2",14,26,21.02,2.54248744819762
"X3",10,23,15.93,2.60246580819581
"X4",6,17,12.3333333333333,2.3430313524081
"X5",5,16,9.68686868686869,2.51788080899299
"X6",2,14,7.50505050505051,2.30072631554817
"X7",2,12,6.32323232323232,2.04953097087534
"X8",1,10,5.51020408163265,2.11155338314713
"X9",1,9,4.48484848484848,1.88638319501674
"X10",1,9,3.98947368421053,1.74730635759126
"X11",1,9,3.51612903225806,1.64589676379861
