"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,2,1.32352941176471,0.474858079933817
"X3",1,10,4.53535353535354,2.01176707436335
"X4",4,18,8.84,2.48112063309296
"X5",6,23,12.6,2.77797979063414
"X6",6,24,15.72,3.12397053750382
"X7",6,25,18.14,3.01852864016811
"X8",6,25,19.82,2.8722989068168
"X9",6,26,21.24,2.71962564268754
"X10",6,27,22.27,2.63179855543004
"X11",6,27,23.1,2.53261552829114
