"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.0740740735158,16.4285714279847,15.9357539676956,0.193849350514251
"X3",26.9999999985789,33.8695652159187,30.6648859483468,1.35065186442315
"X4",34.7499999971042,51.3529411734498,43.6589543713566,3.14241834005448
"X5",34.99999999125,74.571428566102,55.8261825444609,5.92502934754234
"X6",46.2499999884375,93.49999999065,68.0769666572008,8.39965224224476
"X7",51.9999999913333,105.999999982333,79.5695585441714,10.9285620409703
"X8",52.49999997375,134.749999966312,92.3546602197106,16.724768277002
"X9",59.99999997,172.9999999135,104.69607220969,21.2384552349616
"X10",62.999999937,243.999999756,121.768043108898,30.9314587392076
"X11",74.999999925,254.999999745,132.559782544806,34.2294235935934
