"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,2,1.24390243902439,0.434769352926241
"X3",1,8,2.54022988505747,1.49265330871798
"X4",1,11,4.74,1.96237333117557
"X5",2,17,7.71,2.49158178633169
"X6",4,20,10.72,2.94419476738256
"X7",5,21,13.74,3.14504580750633
"X8",9,24,16.63,3.1258291829222
"X9",10,26,18.88,3.29762693983771
"X10",14,29,21.28,3.33357574876097
"X11",16,32,23.68,3.45206715994456
