"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,NA
"X2",121.599999995807,121.599999995807,121.599999995807,NA
"X3",122.957142851288,122.957142851288,122.957142851288,NA
"X4",124.066666659774,124.066666659774,124.066666659774,NA
"X5",126.114285705278,126.114285705278,126.114285705278,NA
"X6",127.576923067109,127.576923067109,127.576923067109,NA
"X7",128.0999999817,128.0999999817,128.0999999817,NA
"X8",130.383333311603,130.383333311603,130.383333311603,NA
"X9",130.19999996745,130.19999996745,130.19999996745,NA
"X10",131.999999956,131.999999956,131.999999956,NA
"X11",133.833333288722,133.833333288722,133.833333288722,NA
