"","min","max","mean","sd"
"X1",0,0,0,0
"X2",10,10,10,NA
"X3",35,35,35,NA
"X4",30,30,30,NA
"X5",25,25,25,NA
"X6",26,26,26,NA
"X7",28,28,28,NA
"X8",23,23,23,NA
"X9",22,22,22,NA
"X10",19,19,19,NA
"X11",22,22,22,NA
