"","min","max","mean","sd"
"X1",25.49999999949,25.49999999949,25.49999999949,NA
"X2",26.49999999947,26.49999999947,26.49999999947,NA
"X3",24.309523808945,24.309523808945,24.309523808945,NA
"X4",21.9999999992667,21.9999999992667,21.9999999992667,NA
"X5",20.6842105252271,20.6842105252271,20.6842105252271,NA
"X6",20.3571428556888,20.3571428556888,20.3571428556888,NA
"X7",19.79999999802,19.79999999802,19.79999999802,NA
"X8",20.79999999792,20.79999999792,20.79999999792,NA
"X9",20.2222222199753,20.2222222199753,20.2222222199753,NA
"X10",17.19999999656,17.19999999656,17.19999999656,NA
"X11",14.6666666617778,14.6666666617778,14.6666666617778,NA
