"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.9999999980476,40.9999999980476,40.9999999980476,NA
"X3",81.9333333278711,81.9333333278711,81.9333333278711,NA
"X4",119.999999990769,119.999999990769,119.999999990769,NA
"X5",157.19999998428,157.19999998428,157.19999998428,NA
"X6",189.999999972857,189.999999972857,189.999999972857,NA
"X7",229.333333295111,229.333333295111,229.333333295111,NA
"X8",244.499999938875,244.499999938875,244.499999938875,NA
"X9",281.9999999295,281.9999999295,281.9999999295,NA
"X10",310.9999999378,310.9999999378,310.9999999378,NA
"X11",352.499999911875,352.499999911875,352.499999911875,NA
