"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.9999999994483,15.9999999994483,15.9999999994483,NA
"X3",31.9999999988571,31.9999999988571,31.9999999988571,NA
"X4",45.7499999980937,45.7499999980937,45.7499999980937,NA
"X5",53.5555555525802,53.5555555525802,53.5555555525802,NA
"X6",68.5294117606747,68.5294117606747,68.5294117606747,NA
"X7",86.1999999942533,86.1999999942533,86.1999999942533,NA
"X8",109.307692299284,109.307692299284,109.307692299284,NA
"X9",120.545454534496,120.545454534496,120.545454534496,NA
"X10",130.69999998693,130.69999998693,130.69999998693,NA
"X11",150.9999999849,150.9999999849,150.9999999849,NA
