"","min","max","mean","sd"
"X1",0,0,0,0
"X2",11,11,11,NA
"X3",7,7,7,NA
"X4",9,9,9,NA
"X5",7,7,7,NA
"X6",4,4,4,NA
"X7",5,5,5,NA
"X8",3,3,3,NA
"X9",3,3,3,NA
"X10",3,3,3,NA
"X11",2,2,2,NA
