"","min","max","mean","sd"
"X1",0,0,0,0
"X2",0,0,0,0
"X3",7,7,7,NA
"X4",10,10,10,NA
"X5",14,14,14,NA
"X6",17,17,17,NA
"X7",18,18,18,NA
"X8",20,20,20,NA
"X9",21,21,21,NA
"X10",21,21,21,NA
"X11",22,22,22,NA
