"","min","max","mean","sd"
"X1",40.499999997975,40.499999997975,40.499999997975,0
"X2",39.9999999978947,41.499999997925,40.9395935652148,0.275873520163441
"X3",38.8571428543673,42.9230769197751,40.7491584317511,0.809465037314447
"X4",36.2499999954687,44.1666666629861,40.4946912700632,1.37054709438344
"X5",32.999999967,44.545454541405,40.4316247951625,1.89794479678488
"X6",33.39999999332,47.3333333175556,40.0958498906558,2.55323075523478
"X7",32.6666666557778,47.999999952,39.9992208429332,3.20145510479303
"X8",31.49999998425,53.999999946,40.0300584657181,4.19169038726849
"X9",30.999999969,54.999999945,39.4577380783993,4.59496795018939
"X10",30.999999969,55.999999944,39.0309803722926,4.68153820109908
"X11",30.999999969,56.999999943,39.0094907165178,5.78926264464553
