"","min","max","mean","sd"
"X1",20,20,20,0
"X2",2,12,7.26,1.9930181163555
"X3",1,10,4.37373737373737,1.74136855976439
"X4",1,10,2.73118279569892,1.58209949218722
"X5",1,7,1.87179487179487,1.06122906396646
"X6",1,4,1.50819672131148,0.787886430472314
"X7",1,3,1.3,0.563869415688347
"X8",1,3,1.27777777777778,0.513314780122357
"X9",1,1,1,0
"X10",1,2,1.14285714285714,0.377964473009227
"X11",1,1,1,0
