"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,4,1.25,0.603560862122217
"X3",1,8,4,1.49224801012142
"X4",3,14,8.4,2.38259683470949
"X5",6,23,12.9,3.09283956351709
"X6",7,27,17.23,3.33289391043007
"X7",13,31,21.46,3.61372244354625
"X8",16,37,24.97,3.61102408597547
"X9",18,38,28.23,3.78421762459601
"X10",21,41,31.13,3.46892409018046
"X11",25,42,33.81,3.17405835873357
