"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.9999999994483,15.9999999994483,15.9999999994483,NA
"X3",29.5714285700204,29.5714285700204,29.5714285700204,NA
"X4",40.6666666644074,40.6666666644074,40.6666666644074,NA
"X5",61.1428571384898,61.1428571384898,61.1428571384898,NA
"X6",75.7692307634024,75.7692307634024,75.7692307634024,NA
"X7",80.9999999884286,80.9999999884286,80.9999999884286,NA
"X8",103.833333316028,103.833333316028,103.833333316028,NA
"X9",101.9999999745,101.9999999745,101.9999999745,NA
"X10",119.99999996,119.99999996,119.99999996,NA
"X11",138.333333287222,138.333333287222,138.333333287222,NA
