"","min","max","mean","sd"
"X1",100,100,100,NA
"X2",90,90,90,NA
"X3",61,61,61,NA
"X4",56,56,56,NA
"X5",49,49,49,NA
"X6",38,38,38,NA
"X7",29,29,29,NA
"X8",28,28,28,NA
"X9",25,25,25,NA
"X10",24,24,24,NA
"X11",17,17,17,NA
