"","min","max","mean","sd"
"X1",0,0,0,0
"X2",40.699999997965,41.3499999979325,40.9599999980106,0.182269641531733
"X3",78.59999999476,82.0588235245848,80.5566062164202,1.26020056417401
"X4",112.636363626124,125.9999999895,119.005594395934,4.37403564228975
"X5",148.909090895554,174.90909089319,158.586341973666,8.85934350891644
"X6",174.285714260816,207.499999948125,191.958333304724,11.2651751550164
"X7",185.999999907,259.666666580111,226.943593019939,21.0714274421556
"X8",207.999999896,334.999999665,266.094999895848,36.3145092117191
"X9",245.999999877,326.9999998365,288.737499902058,27.1573687538516
"X10",252.999999747,361.999999638,309.370370197641,37.1800030041041
"X11",284.999999715,409.999999795,342.592592380802,43.288126346957
