"","min","max","mean","sd"
"year_0",100,100,100,NA
"year_1",93,93,93,NA
"year_2",89,89,89,NA
"year_3",85,85,85,NA
"year_4",81,81,81,NA
"year_5",78,78,78,NA
"year_6",76,76,76,NA
"year_7",72,72,72,NA
"year_8",70,70,70,NA
"year_9",67,67,67,NA
"year_10",65,65,65,NA
