"","min","max","mean","sd"
"X1",0,0,0,0
"X2",14.961538460963,16.4285714279847,15.9353032147432,0.221220082851402
"X3",28.8333333321319,32.8461538448905,31.1336899529633,0.841099375936872
"X4",41.4705882328547,48.9545454523202,45.5094891980034,1.73000484768007
"X5",52.222222219321,66.39999999668,59.0891270225292,3.20146214258377
"X6",58.9285714243622,87.4999999945313,72.2515288367072,4.85218254502794
"X7",68.5384615331893,108.857142849367,85.193853863329,7.23001648834582
"X8",76.29999999237,125.416666656215,98.8883207878873,9.31091479888977
"X9",77.99999999025,136.39999998636,111.785924026469,11.9077327526986
"X10",92.2499999769375,171.285714261245,125.604279180943,13.6743904730238
"X11",107.499999986562,197.857142828878,140.048775000564,16.3268585019877
