"","min","max","mean","sd"
"X1",119.999999996,119.999999996,119.999999996,0
"X2",121.557142852802,121.617857138514,121.593055551271,0.019284088310697
"X3",122.731578940909,123.199999995262,123.006580739048,0.13343069919712
"X4",123.693749992269,124.542857136927,124.303860065615,0.280204622738499
"X5",123.839999987616,126.399999990971,125.619103632209,0.733369193927449
"X6",124.624999984422,127.84615383632,126.872741690629,0.904891195877773
"X7",126.299999981957,129.699999985589,128.008424225833,0.980678851730847
"X8",126.799999981886,131.89999997362,129.520777756947,1.54139863273334
"X9",127.919999974416,133.679999973264,130.544095209366,1.9568029443098
"X10",129.359999974128,137.0999998629,132.474666620347,2.5276134990144
"X11",128.99999996775,138.4999998615,133.133333275589,2.77568807165547
