"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.9999999994483,15.9999999994483,15.9999999994483,NA
"X3",15.2857142849864,15.2857142849864,15.2857142849864,NA
"X4",14.5555555547469,14.5555555547469,14.5555555547469,NA
"X5",16.7857142845153,16.7857142845153,16.7857142845153,NA
"X6",17.1538461525266,17.1538461525266,17.1538461525266,NA
"X7",15.9999999977143,15.9999999977143,15.9999999977143,NA
"X8",17.8333333303611,17.8333333303611,17.8333333303611,NA
"X9",16.2499999959375,16.2499999959375,16.2499999959375,NA
"X10",17.3333333275556,17.3333333275556,17.3333333275556,NA
"X11",18.3333333272222,18.3333333272222,18.3333333272222,NA
