"","min","max","mean","sd"
"X1",25.49999999949,25.49999999949,25.49999999949,0
"X2",26.0833333327899,26.7346938770054,26.4263605436816,0.182039091207131
"X3",23.3333333326852,26.5641025634214,24.7509466239047,0.992352614545601
"X4",21.071428570676,25.1538461528787,23.4569149139143,1.47538962787745
"X5",17.3076923063609,23.9444444431142,21.2130701438353,2.31511660513875
"X6",16.9166666652569,22.2857142841224,19.7537379271926,1.90491216263696
"X7",17.7777777758025,22.4444444419506,20.078712119091,1.4248956661498
"X8",11.49999999425,25.3333333291111,17.7874458843288,3.88426025208811
"X9",12.49999999375,26.99999999325,18.4922222182629,4.11164184206012
"X10",12.9999999935,27.999999993,18.6066666615812,4.55090684209498
"X11",13.999999993,27.9999999906667,18.751666659287,4.02799194776726
