"","min","max","mean","sd"
"X1",0,0,0,0
"X2",15.5357142851594,16.2499999994196,15.9535714280115,0.177416902713306
"X3",15.3599999993856,16.4999999994107,16.1797777771735,0.360653955648071
"X4",15.6818181811054,17.1249999992865,16.4043640917261,0.479944509556493
"X5",14.8888888880617,17.4545454537521,16.2271212112781,0.924050934460378
"X6",14.5333333323644,17.59999999912,16.3548663929398,1.02099156724066
"X7",15.214285713199,18.59999999876,16.7658288758279,1.04839631743388
"X8",15.8333333320139,18.6153846139527,17.1850177585299,0.786747333631959
"X9",16.6249999979219,19.7142857128776,18.3656185464142,1.13851614951888
"X10",17.1111111092099,21.1428571398367,19.3220887425678,1.3497606855576
"X11",15.8571428548776,21.9999999975556,19.3559920609183,1.66772422222279
