"","min","max","mean","sd"
"X1",119.999999994,119.999999994,119.999999994,NA
"X2",124.09999999409,124.09999999409,124.09999999409,NA
"X3",128.193333324787,128.193333324787,128.193333324787,NA
"X4",131.999999989846,131.999999989846,131.999999989846,NA
"X5",135.719999986428,135.719999986428,135.719999986428,NA
"X6",135.857142837735,135.857142837735,135.857142837735,NA
"X7",133.766666644372,133.766666644372,133.766666644372,NA
"X8",133.449999966637,133.449999966637,133.449999966637,NA
"X9",137.1999999657,137.1999999657,137.1999999657,NA
"X10",135.69999997286,135.69999997286,135.69999997286,NA
"X11",135.999999966,135.999999966,135.999999966,NA
