"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,1,1,0
"X3",1,3,1.71428571428571,0.951189731211342
"X4",1,6,3.9,1.59513148186739
"X5",4,13,7.2,2.44040069569642
"X6",6,14,9.4,2.41292814278051
"X7",8,17,11.4,2.71620650499512
"X8",11,19,13.7,2.75075747143703
"X9",11,20,14.3,2.79085809185793
"X10",12,20,15.1,2.80673792466945
"X11",14,23,16.3,2.98328677803526
