"","min","max","mean","sd"
"X1",0,0,0,0
"X2",1,3,1.5,0.836660026534076
"X3",4,15,8.1,3.28125992061992
"X4",11,26,17.5,4.16999866773227
"X5",20,33,26.1,3.72528895225294
"X6",30,40,35.6,3.83550663030467
"X7",37,50,44.1,3.72528895225294
"X8",39,54,50.4,4.40201973845845
"X9",48,62,58,4.42216638714053
"X10",57,70,64,4.29469957557504
"X11",61,73,68.5,3.97911212877111
