"","min","max","mean","sd"
"X1",25.49999999949,25.49999999949,25.49999999949,0
"X2",26.062499999457,26.7291666661098,26.4579506797298,0.191082132683815
"X3",23.8249999994044,27.5217391298365,25.7057246372596,1.05139676242411
"X4",21.8749999993164,26.3513513506392,24.8560062474836,1.32126148467384
"X5",21.9999999991852,25.9722222215008,24.2237583063454,1.5163728788867
"X6",20.5652173904102,27.3749999988594,23.5507000043792,2.13608957249574
"X7",19.6315789463352,27.1363636351302,22.6194236448392,2.28450815451866
"X8",18.7222222211821,27.4705882336782,22.3727993377308,2.76034323918321
"X9",18.1818181801653,27.6249999965469,21.2109094074961,2.64068149619834
"X10",17.79999999822,26.2857142819592,21.3843144335461,2.31778450695036
"X11",19.1111111089877,25.3749999968281,21.2744696945392,1.91704610968172
