"","min","max","mean","sd"
"X1",0,0,0,0
"X2",5,5,5,NA
"X3",9,9,9,NA
"X4",14,14,14,NA
"X5",8,8,8,NA
"X6",2,2,2,NA
"X7",2,2,2,NA
"X8",4,4,4,NA
"X9",6,6,6,NA
"X10",3,3,3,NA
"X11",2,2,2,NA
