"","min","max","mean","sd"
"X1",119.999999994,119.999999994,119.999999994,0
"X2",124.021052625052,124.157894730307,124.096296897855,0.0247512260362015
"X3",127.239999987276,128.561538451649,127.993719369729,0.272454441702371
"X4",130.462499983692,133.585714266631,131.701109091511,0.666286991809099
"X5",131.533333289489,137.999999931,134.691723843108,1.20584733514575
"X6",130.4999998695,139.4999998605,135.56007418626,1.68320873345001
"X7",130.0999998699,139.4999998605,134.76329356932,2.24623758111207
"X8",130.2999998697,139.5999998604,134.123105965034,2.6117677406834
"X9",131.1999998688,139.99999986,135.014666554613,2.35649495495836
"X10",130.5999998694,139.6999998603,136.099382585807,2.91052643193745
"X11",131.4999998685,139.4999998605,135.049019482136,2.27285056352757
