"","min","max","mean","sd"
"X1",50,50,50,0
"X2",37,49,44.85,2.19905856808285
"X3",30,47,40.42,2.98880064456117
"X4",28,44,36.42,3.18512958999324
"X5",26,40,33.03,2.81573859553472
"X6",22,38,30.57,3.23258348068475
"X7",19,34,27.93,3.30672714998447
"X8",17,34,25.89,3.16513519586144
"X9",15,32,23.92,3.23391122608241
"X10",15,30,21.83,3.39653715517211
"X11",14,29,20.46,3.30111704387677
